epoch,train_loss_scaled_mse,validation_loss_scaled_mse,validation_mae_seconds
1,42.819969002859935,40.465067474365235,985.0091057942708
2,38.51825409807478,35.781400248209636,984.3417332356771
3,33.262310928344725,29.65040586344401,982.7893806966146
4,26.527848273141043,21.5098585357666,977.9598986002604
5,17.99972567858015,12.026843452453614,956.835978515625
6,8.915521165030343,4.180756459554036,840.1103782552084
7,2.8654522226878574,1.2525505386988323,669.0469573567708
8,1.2788720389774868,1.0693368253707887,765.788157063802
9,0.9747463599613735,0.7288783763249715,560.8758714192709
10,0.6810272514479501,0.5644777388572693,473.11212833658857
11,0.5505415893963405,0.4970460035006205,443.08632381184896
12,0.47202939425195967,0.4575785055955251,430.60951220703123
